Surname,Count,
visvasa,95,
vajira,95,
jumani,95,
parashara,95,
chaudhura,95,
minakshi,95,
mojahira,95,
movina,95,
asiya,94,
kaisha,94,
sajana,94,
bharatiya,94,
masiha,94,
siddiqa,94,
0,94,
nejama,94,
nirale,94,
momataja,94,
shrimati,94,
kamila,94,
rohita,94,
mainuddina,94,
samdhya,94,
chamana,94,
enula,93,
gulasana,93,
monajira,93,
arasadi,93,
lalita,93,
kanhaiya,93,
tirki,93,
qamara,93,
navi,93,
vikasa,92,
shahani,92,
munajira,92,
maholi,92,
mukesha,92,
shamasula,92,
svarupa,92,
tulasyana,92,
khanna,92,
aphasari,92,
khatu,92,
hasamata,92,
madala,91,
cha.ndani,91,
najamuna,91,
kusuma,91,
aisa,91,
shavanama,90,
podyara,90,
khatika,90,
rahamatulla,90,
varsha,90,
somani,90,
daraji,90,
rusatama,90,
dulare,90,
chandana,90,
imateyaja,90,
shilpi,90,
sonali,90,
istekhara,89,
pramanika,89,
zafara,89,
ga.ndhi,89,
vardhana,89,
alihasana,89,
sahana,88,
akabala,88,
rabiya,88,
sharada,88,
nurasadi,88,
tudadu,88,
nasarudina,88,
pharahina,88,
samtosha,88,
gudadu,88,
gujarati,88,
manasuri,88,
sairuna,88,
tamanne,88,
saiphi,87,
sarafaraza,87,
rakima,87,
varama,87,
mauara,87,
vajida,87,
ragiba,87,
kalila,87,
rasina,87,
simghaniya,87,
saqiba,87,
kamaita,87,
mophila,87,
sidika,87,
modaka,87,
sanu,87,
asamri,87,
pasabana,87,
mahaphuza,86,
smrriti,86,
nasarullaha,86,
varmana,86,
juveda,86,
alimudina,86,
tausipha,86,
mittala,86,
farida,86,
parvina,85,
mosalima,85,
0,85,
kalida,85,
taufiqa,85,
sajima,85,
kamaruna,85,
shamdilya,85,
isarara,85,
naphisa,85,
husana,85,
anabara,85,
noniya.n,85,
nihara,85,
najanina,85,
rajahamsa,85,
anuraga,84,
asina,84,
nashima,84,
jaha.nara,84,
raji,84,
sushila,84,
reyaza,84,
dipamala,83,
jasavala,83,
faizana,83,
mamradi,83,
samgama,83,
saiphula,83,
mosamata,83,
vasaka,83,
phurakana,83,
dhanakara,82,
hadisana,82,
rumi,82,
uddhina,82,
shimha,82,
rita,82,
gau.da,82,
dilavara,82,
musarrata,82,
akavara,82,
divi,82,
jainuddina,81,
atika,81,
akatari,81,
asharaphi,81,
jumarati,81,
vali,81,
akamala,81,
samju,81,
pamndeya,81,
navaba,81,
samjari,81,
chote,80,
vasila,80,
anajuma,80,
vamdana,80,
vihari,80,
madhava,80,
raba,80,
mishri,80,
dhosha,80,
nutana,80,
hatima,80,
phaija,80,
niyaza,80,
niramjana,80,
isaka,80,
sudhamshu,80,
paramara,80,
kamjara,80,
bechana,79,
kalavati,79,
ajimudina,79,
praj~na,79,
aktara,79,
savana,79,
sviti,79,
tasanima,79,
praveza,79,
saphira,79,
nuruddina,79,
nurahasana,79,
shakina,79,
a,79,
shashi,79,
harsha,79,
samashera,79,
razaka,78,
risideva,78,
vara,78,
moinuddina,78,
kumra,78,
farahina,78,
anu,78,
dhamgada,78,
aparajita,78,
sunila,78,
kajima,78,
akalima,78,
ejaza,78,
priyama,78,
shobha,78,
najiya,77,
saravagi,77,
pahadi,77,
akasha,77,
maya,77,
mohali,77,
nejamuddina,77,
mathuri,77,
soeba,77,
di,77,
anasarula,77,
makina,77,
ajaya,77,
manovara,77,
phiroza,77,
khatija,77,
monu,77,
jannati,77,
radha,77,
premalata,77,
navina,77,
araphina,76,
mohida,76,
vinita,76,
viveka,76,
gyasa,76,
babali,76,
mujammila,76,
ajamera,76,
manohara,76,
pavana,76,
parvati,76,
lavali,76,
jaibuna,75,
kali,75,
pratima,75,
prasuna,75,
gahalauta,75,
primsa,75,
nurasava,75,
rajabula,75,
vaduda,75,
sushama,75,
rajakishora,75,
kala,75,
reyajudina,75,
arpana,75,
samasa,75,
jaho,75,
saumya,75,
zahida,75,
alaka,75,
saravari,75,
mobaraka,74,
ekka,74,
hajarata,74,
pamda,74,
sitare,74,
nathuni,74,
bechani,74,
gausa,74,
kaushari,74,
keshava,74,
kara,74,
sulekha,74,
mohiudina,74,
rakhi,74,
zarina,74,
tavareja,74,
mastri,74,
rahabara,74,
kamarana,74,
miraja,74,
rajaputa,74,
phakira,73,
radhika,73,
nejamudina,73,
nasarula,73,
shahavaja,73,
krriti,73,
sirajuddina,73,
jhunajhunavala,73,
ummati,73,
isteyaka,73,
dipashikha,73,
shruti,73,
najo,73,
bhula,73,
tarana,73,
ezaza,73,
jeba,73,
vidharthi,72,
parasara,72,
laladasa,72,
nesara,72,
ragini,72,
namdi,72,
kalimullaha,72,
sadarula,72,
parasada,72,
sarataja,72,
sundara,72,
kaishara,72,
nazarana,72,
sana,72,
phakharuddina,72,
saloni,72,
vasika,72,
shaॉ,71,
ahammada,71,
iphatekhara,71,
saphida,71,
kamaluddina,71,
hafiza,71,
bhai,71,
hashmi,71,
abhinava,71,
daphali,71,
kalpana,71,
khadija,71,
varisha,71,
ishaka,71,
uravam,71,
gulanaza,71,
vaibhava,70,
diladara,70,
vibi,70,
raprasada,70,
azami,70,
vasi,70,
gayasudina,70,
gamguli,70,
prerana,70,
juneda,70,
sonakara,70,
shakiba,70,
salimuddina,70,
phatami,70,
vasaphora,70,
dhovi,70,
nilu,70,
phulo,70,
jabim,70,
usha,70,
chakravati,70,
abhilasha,69,
saista,69,
badala,69,
khakhara,69,
koraishi,69,
inama,69,
salimudina,69,
muriyari,69,
bani,69,
nishamta,69,
jafara,69,
sohila,69,
bamsaphora,69,
tausifa,68,
navisa,68,
idrisi,68,
sapera,68,
galiba,68,
murasida,68,
jubaida,68,
nazamina,68,
sita,68,
bahara,68,
nazarina,68,
alaudadina,68,
shahadata,68,
baske,67,
payala,67,
mai,67,
sadira,67,
phulahasana,67,
juvaira,67,
gulesha,67,
khushanuma,67,
simarana,67,
madhuri,67,
sumita,67,
vega,67,
dilakasha,67,
bakara,67,
karaka,67,
nomana,67,
vishavasa,67,
sanaulla,67,
rajiva,66,
asamati,66,
