Surname,Count
atiullaha,145
movina,145
parava,145
muslama,145
shivanarayana,145
idrisi,145
pavana,144
isara,144
phahima,144
barakata,144
gyasudina,143
nanda,143
japharula,143
salahuddina,143
pa.dita,143
bhagavana,143
baksha,143
mahmada,143
hayata,142
naddapha,142
ahammada,142
bhimdavara,142
murtuza,142
paneri,141
etavari,141
izahara,141
basiruddina,140
saphiullaha,140
nasarullaha,140
jiyauddina,140
pramoda,140
kalida,140
gulazara,139
najamula,139
yakuva,139
kaushara,139
samasera,139
jiyaula,139
zahira,138
avasthi,138
sarapha,138
vikasa,138
gayasa,137
tatma,137
gareri,137
soharava,136
eyuba,136
pramanika,136
moharama,135
mastara,135
ramjita,135
rehana,135
nesara,135
shyama,134
sauda,134
shama,134
sabula,134
karana,134
lalu,134
anajara,134
mahaphuza,134
hasamata,134
jenula,134
mophida,133
jitemdra,133
kuresi,133
baharuddina,133
dilavara,133
aruna,133
dhamgada,133
muhamada,133
charana,133
asada,132
mojibula,132
momataja,132
khurashida,132
tamanne,132
monajira,132
aminuddina,132
vahava,131
riyajula,131
zafara,131
vimala,130
bahaba,130
ilahi,130
vali,130
maqabula,130
marara,130
jagadisha,130
shambhu,130
sharama,130
rajabula,129
istekhara,129
moinudina,129
hanana,129
mudina,128
rajahamsa,128
shahani,128
abdulla,128
mojahira,128
mohamda,128
amana,128
badarudina,127
ramesha,127
phatakana,127
maraiya,127
sadaruddina,127
chotelala,127
hasina,126
sonakara,126
chamdana,126
juvaira,126
ramadasa,126
adhikari,126
sarajula,126
javara,125
vasaka,125
miyo,124
javira,124
uraba,124
chohana,124
sundara,124
rakima,124
hiralala,123
abujara,123
azimuddina,123
niraja,123
chauo,122
naiyara,122
habiburrahamana,122
mumshi,122
sanaulla,121
varama,121
pasvana,121
pravesha,121
dharikara,121
jamalauddina,121
mathura,121
lahari,121
kurabana,121
manovara,121
ibarana,120
prabhata,120
kishuna,120
shamasudina,120
varmana,120
zaphara,120
vasi,120
guro,120
muddina,119
juneda,119
dilipa,119
vamshi,119
damgi,119
shalima,119
mujaphphara,119
praveza,119
akavara,119
domi,119
rusatama,118
salamuddina,118
ddina,118
zahida,118
dilajana,118
rikhyasana,117
ha,117
ramgava,117
lalana,117
bamka,117
taha,117
jasavala,117
bhai,117
jiyaudina,116
mishtri,116
vaksa,116
madari,116
devanarayana,116
kanhaiya,116
pratihasta,116
modaka,116
tibari,115
malla,115
tarika,115
barmana,115
mamkshi,115
masiha,115
tulasyana,115
nomana,115
tamijuddina,115
tullaha,115
nandana,114
sukaru,114
darve,114
sahila,114
sajima,114
pahadiya,113
niyaja,113
nurullaha,113
habibula,113
madana,113
isalamudina,112
tetara,112
bajaru,112
shani,112
anasarula,112
sadai,112
kurami,112
nuraalama,111
dulare,111
taja,111
rajemdra,111
munipha,111
neyaja,111
riyazuddina,111
rshama,111
babara,110
abhisheka,110
ezaza,110
mehadi,110
manajura,110
bamjara,110
kharabara,110
sharaphuddina,109
betha,109
kaushala,109
najabula,109
mallaka,109
bakhsha,109
shuk?la,109
niyamata,109
serajudina,109
sarifa,109
ramma,108
kameta,108
nisham,108
mojiburrahamana,108
bakho,108
tajudina,108
nasarula,108
khaॉna,107
mushataka,107
mastana,107
nidhi,107
karamata,107
vaidha,107
hamaja,106
pakasha,106
rameshvara,106
helala,106
monipha,106
jamaruddina,106
ramanarayana,106
dharmemdra,105
haphiza,105
mophija,105
haphijuddina,105
raphi,105
purbe,105
yahiya,105
sainula,105
paiti,105
kapada,105
gaumda,105
mamradi,105
bariqa,105
khataita,104
madaiya,104
munni,104
inamula,104
tatavam,104
nasimudina,104
manisha,104
jenudina,104
phajila,104
arjuna,104
jahirudina,104
mamji,104
jhunajhunavala,104
saravagi,103
jamalaudina,103
sudhamshu,103
saini,103
ramazana,103
jalauddina,103
ambashta,103
iftekara,103
kallu,102
kalimaudina,102
nuraina,102
shamasera,102
haphijula,102
khanna,102
sajada,102
masaleudina,102
joshi,101
abadina,101
ilyasa,101
kebata,101
hajarata,101
gujarati,101
mahesha,101
niyaza,100
nasirudina,100
hasimuddina,100
jayaprakasha,100
istiyaqa,100
allaudina,100
saiphullaha,100
ajita,100
dabira,100
vashira,100
veladara,100
jabeda,99
gaffara,99
araphina,99
hasamudina,99
mushara,99
shahabaza,99
serajula,99
ma,99
kho,98
karma,98
rohita,98
namda,98
izaraila,98
varisha,98
shadika,98
chaidhari,98
avvasa,98
abasa,98
tajammula,98
shila,98
bharata,98
u,98
khirahara,98
kudadusa,98
javvara,98
ikavala,97
istiyaka,97
avatara,97
bhikhari,97
amita,97
kharava.da,97
dhosha,97
jaha.n,96
murtaza,96
ziyauddina,96
reyaza,96
pashavana,96
anabara,96
gupata,96
dhadhi,96
ashisha,96
yati,96
ajimullaha,96
kurvana,96
ahira,96
nematullaha,96
lalabahadura,96
hasiva,96
reyajuddina,96
samashera,96
abdulaha,95
rafiqa,95
karo.di,95
chamaru,95
rajiva,95
sakhavata,95
budhu,95
kayyuma,95
shahajaham,95
tauphika,95
azahara,95
dinakara,95
isarara,95
basara,94
isamula,94
suhaila,94
kujura,94
kabari,94
niramjana,94
dastagira,94
mujahira,94
ashipha,94
saima,94
vajula,94
sva,94
umashamkara,93
raphida,93
raphula,93
vajuddina,93
shami,93
manohara,93
dhagada,93
phulo,93
avadina,92
lakshmana,92
vakasa,92
chunihara,92
ibarahima,92
kaiyyuma,92
sagiruddina,92
sumdara,92
nadaka,92
jasimuddina,92
sanagahi,92
bhadani,92
padeya,92
rajavamsi,92
nanhe,92
dukha,92
ilatapha,91
padhana,91
upemdra,91
raisudina,91
noniyam,91
joha,91
bahida,91
suremdra,91
pati,91
saifi,91
alimaudina,90
hathi,90
zubera,90
majibula,90
sulamana,90
ramgareja,90
saksena,90
madara,90
bharatiya,90
kalimauddina,90
jalima,90
muraraka,89
avasa,89
mahamadina,89
sanipha,89
ramababu,89
chaudari,89
ashafaqa,89
salahauddina,89
sadiqa,89
sa,89
qayyuma,89
disava,88
chulhai,88
nuramohammada,88
moslima,88
isharaila,88
aloka,88
sahamada,88
murataja,88
00000,88
yahaya,88
inama,88
husana,88
jham,88
rojita,88
janipha,88
minahaja,87
kamaludina,87
varai,87
nasirauddina,87
rani,87
rajapala,87
phaudara,87
chaude,87
kuddusa,87
shriva,87
shamashuddina,86
gadyi,86
saddika,86
mamtu,86
shahu,86
lalo,86
hasiburrahamana,86
samashada,86
ulaphata,86
koraisi,86
nai,86
gausa,86
asira,86
pamchu,85
matiurrahamana,85
takura,85
ba.dhai,85
kara,85
latiphula,85
pheku,85
murada,85
svarupa,85
pradipa,84
kaisa,84
moija,84
jayanarayana,84
moinauddina,84
raisha,84
tudadu,84
simghaniya,84
naga,84
kismata,84
balaka,84
majahira,84
ramaji,84
chunari,84
alaudvina,84
alli,84
karori,84
haladara,84
mohima,83
harinarayana,83
jababara,83
kushvaha,83
mimja,83
trashideva,83
avadhesha,83
saphikula,83
lakhana,83
saiphudina,83
vaidya,83
shamada,83
aliraja,83
saphiruddina,83
qamaruddina,83
sovarati,83
shamra,83
phajalurrahamana,82
lokamana,82
mu,82
vidharthi,82
raji,82
phajalu,82
masuka,82
khairuddina,82
shekhavata,82
badiujjama,82
nisarula,82
kailasha,82
namdi,81
chakravati,81
0000,81
nasiba,81
phurakana,81
kamarujama,81
sarma,81
amirudina,81
rahabara,81
mullaha,81
ekaramula,81
biremdra,81
amarajita,81
hauda,81
dukhana,81
gauro,81
nirale,80
samjara,80
mahya,80
masira,80
nayana,80
rahimudina,80
ainudina,80
radheshyama,80
siddhika,80
isalamuddina,80
toppo,80
vosaka,80
mustakina,80
istaka,79
maya,79
shahabaja,79
maharana,79
masuri,79
diladara,79
abunasara,79
saroja,79
shaॉ,79
dinanatha,79
ataurrahamana,79
svami,79
